party_id	list_order	candidate_name	birth_year	query	result_urls	result_titles	google_wikipedia_result	checked_at
adilet	51	Данбаева Жулдыз Сейткамзиновна	1965	"""Данбаева Жулдыз Сейткамзиновна"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:11:21Z
adilet	52	Данилов Александр Сергеевич	1991	"""Данилов Александр Сергеевич"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:11:23Z
adilet	55	Джамалов Бауыржан Салдарович	1971	"""Джамалов Бауыржан Салдарович"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:11:25Z
adilet	56	Джаманкулова Карлыгаш Калибековна	1982	"""Джаманкулова Карлыгаш Калибековна"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:11:27Z
adilet	57	Джансенгиров Арман Серикович	1985	"""Джансенгиров Арман Серикович"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:11:29Z
adilet	58	Ділдәбек Дидарбек Жұмағалиұлы	1997	"""Ділдәбек Дидарбек Жұмағалиұлы"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:11:30Z
adilet	59	Дулатбеков Нурлан Орынбасарович	1962	"""Дулатбеков Нурлан Орынбасарович"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	"[""https://ru.wikipedia.org/wiki/%D0%94%D1%83%D0%BB%D0%B0%D1%82%D0%B1%D0%B5%D0%BA%D0%BE%D0%B2,_%D0%9D%D1%83%D1%80%D0%BB%D0%B0%D0%BD_%D0%9E%D1%80%D1%8B%D0%BD%D0%B1%D0%B0%D1%81%D0%B0%D1%80%D0%BE%D0%B2%D0%B8%D1%87""]"	"[""Дулатбеков, Нурлан Орынбасарович Википедия https://ru.wikipedia.org › wiki › Д...""]"	true	2026-08-16T22:11:32Z
adilet	60	Егамбердиева Динара Асиловна	1988	"""Егамбердиева Динара Асиловна"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:11:34Z
adilet	61	Елеусизова Бота Сериковна	1975	"""Елеусизова Бота Сериковна"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:11:36Z
adilet	62	Ералиев Бегалы Ералиевич	1970	"""Ералиев Бегалы Ералиевич"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:11:38Z
adilet	63	Ералиев Магжан Абзалович	1989	"""Ералиев Магжан Абзалович"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:11:39Z
adilet	68	Есимханов Сунгат Куатович	1973	"""Есимханов Сунгат Куатович"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:11:41Z
adilet	70	Жакселекова Ботагоз Шаймардановна	1980	"""Жакселекова Ботагоз Шаймардановна"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:11:43Z
adilet	71	Жукебаев Алмат Отаубаевич	1983	"""Жукебаев Алмат Отаубаевич"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:11:45Z
adilet	73	Жылкыбаева Ляззат Ауесхановна	1975	"""Жылкыбаева Ляззат Ауесхановна"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:11:47Z
adilet	74	Закиева Динара Болатовна	1982	"""Закиева Динара Болатовна"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	"[""https://ru.wikipedia.org/wiki/%D0%97%D0%B0%D0%BA%D0%B8%D0%B5%D0%B2%D0%B0,_%D0%94%D0%B8%D0%BD%D0%B0%D1%80%D0%B0_%D0%91%D0%BE%D0%BB%D0%B0%D1%82%D0%BE%D0%B2%D0%BD%D0%B0""]"	"[""Закиева, Динара Болатовна Википедия https://ru.wikipedia.org › wiki › З...""]"	true	2026-08-16T22:11:48Z
adilet	75	Зенченко Геннадий Геннадьевич	1964	"""Зенченко Геннадий Геннадьевич"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	"[""https://ru.wikipedia.org/wiki/%D0%97%D0%B5%D0%BD%D1%87%D0%B5%D0%BD%D0%BA%D0%BE,_%D0%93%D0%B5%D0%BD%D0%BD%D0%B0%D0%B4%D0%B8%D0%B9_%D0%93%D0%B5%D0%BD%D0%BD%D0%B0%D0%B4%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"", ""https://ru.wikipedia.org/wiki/%D0%97%D0%B5%D0%BD%D1%87%D0%B5%D0%BD%D0%BA%D0%BE,_%D0%93%D0%B5%D0%BD%D0%BD%D0%B0%D0%B4%D0%B8%D0%B9""]"	"[""Зенченко, Геннадий Геннадьевич Википедия https://ru.wikipedia.org › wiki › З..."", ""Зенченко, Геннадий Википедия https://ru.wikipedia.org › wiki › З...""]"	true	2026-08-16T22:11:50Z
adilet	76	Ильясов Еркебулан Сайдуллаевич	1985	"""Ильясов Еркебулан Сайдуллаевич"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:11:52Z
adilet	78	Искандерова Ақерке Нұрғалиқызы	1997	"""Искандерова Ақерке Нұрғалиқызы"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:11:54Z
adilet	79	Кажибаева Раушан Жанабергеновна	1978	"""Кажибаева Раушан Жанабергеновна"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:11:55Z
adilet	82	Калижанова Сандугаш Каиргельдиновна	1973	"""Калижанова Сандугаш Каиргельдиновна"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:11:57Z
adilet	84	Карабасова Лаура Чапаевна	1987	"""Карабасова Лаура Чапаевна"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:11:59Z
adilet	85	Кариева Шолпан Кайратовна	1991	"""Кариева Шолпан Кайратовна"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:12:01Z
adilet	86	Карин Ерлан Тынымбайұлы	1976	"""Карин Ерлан Тынымбайұлы"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	"[""https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B8%D0%BD,_%D0%95%D1%80%D0%BB%D0%B0%D0%BD_%D0%A2%D1%8B%D0%BD%D1%8B%D0%BC%D0%B1%D0%B0%D0%B9%D1%83%D0%BB%D1%8B""]"	"[""Карин, Ерлан Тынымбайулы Википедия https://ru.wikipedia.org › wiki › К...""]"	true	2026-08-16T22:12:03Z
adilet	90	Кенжеханұлы Рауан	1979	"""Кенжеханұлы Рауан"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:12:04Z
adilet	91	Керимбаева Наргиза Абайдуллаевна	1981	"""Керимбаева Наргиза Абайдуллаевна"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:12:06Z
adilet	92	Кисикова Актоты Жанараловна	1975	"""Кисикова Актоты Жанараловна"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:12:08Z
adilet	93	Кобеева Алтынай Орманкалиевна	1972	"""Кобеева Алтынай Орманкалиевна"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:12:10Z
adilet	97	Кузиева Замира Закиржановна	1996	"""Кузиева Замира Закиржановна"" (site:ru.wikipedia.org OR site:kk.wikipedia.org)"	[]	[]	false	2026-08-16T22:12:12Z
