party_id	list_order	candidate_name	birth_year	wiki_language	rank	page_title	page_url	page_id	wikidata_id	score	signals	extract	review_status	review_note
respublica	43	Куспеков Олжас Хайроллаевич	1986	ru	1	Куспеков, Олжас Хайроллаевич	https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D1%81%D0%BF%D0%B5%D0%BA%D0%BE%D0%B2,_%D0%9E%D0%BB%D0%B6%D0%B0%D1%81_%D0%A5%D0%B0%D0%B9%D1%80%D0%BE%D0%BB%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87	11332818	Q131744492	100	exact-title,name-tokens:3/3,birth-year-match,context:viii,депутат,казахстан,мажилиса,парламента	Олжас Хайроллаевич Куспеков (каз. Олжас Хайроллаұлы Құспеков; род. 7 января 1986, Карагандинская область) — казахстанский государственный деятель. Депутат Мажилиса Парламента Республики Казахстан VIII созыва от партии Respublica с 2023 до упразднения Парламента в 2026 году.	SUGGESTED	
respublica	43	Куспеков Олжас Хайроллаевич	1986	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	44	Мадиева Дилафруз Давлятбековна	1980	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	44	Мадиева Дилафруз Давлятбековна	1980	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	45	Мақатов Дулат Нұрланұлы	1992	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	45	Мақатов Дулат Нұрланұлы	1992	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	46	Марклен Азамат Ержанулы	1995	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	46	Марклен Азамат Ержанулы	1995	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	47	Мәдәлі Мейрамгүл Ералықызы	1988	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	47	Мәдәлі Мейрамгүл Ералықызы	1988	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	48	Мункебаев Даурен Биркутович	1984	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	48	Мункебаев Даурен Биркутович	1984	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	49	Муратбеков Даурен Булатович	1984	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	49	Муратбеков Даурен Булатович	1984	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	50	Мұхамеджан Ерболат Амангелдіұлы	1988	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	50	Мұхамеджан Ерболат Амангелдіұлы	1988	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	51	Мухамедрахимова Анаргуль Хаиржановна	1978	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	51	Мухамедрахимова Анаргуль Хаиржановна	1978	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	52	Нагуманова Тахмина Утагалиевна	1974	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	52	Нагуманова Тахмина Утагалиевна	1974	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	53	Наскенов Жабай Алемгерович	1987	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	53	Наскенов Жабай Алемгерович	1987	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	54	Науатбек Ақмарал Маратқызы	1999	ru	1	Науатбек, Акмарал Мараткызы	https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D1%83%D0%B0%D1%82%D0%B1%D0%B5%D0%BA,_%D0%90%D0%BA%D0%BC%D0%B0%D1%80%D0%B0%D0%BB_%D0%9C%D0%B0%D1%80%D0%B0%D1%82%D0%BA%D1%8B%D0%B7%D1%8B	10745766	Q63243375	76	surname-in-title,name-tokens:3/3,birth-year-match,context:астана,казахстан	Акмарал Мараткызы Науатбек (каз. Ақмарал Маратқызы Науатбек; род. 8 января 1999 года, Астана, Казахстан) — казахстанская парадзюдоистка. Чемпионка летних Паралимпийских игр 2024 года в Париже.	SUGGESTED	
respublica	54	Науатбек Ақмарал Маратқызы	1999	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	55	Наумова Динара Рустамовна	1997	ru	1	Наумова, Динара Рустамовна	https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D1%83%D0%BC%D0%BE%D0%B2%D0%B0,_%D0%94%D0%B8%D0%BD%D0%B0%D1%80%D0%B0_%D0%A0%D1%83%D1%81%D1%82%D0%B0%D0%BC%D0%BE%D0%B2%D0%BD%D0%B0	10173797	Q120277635	100	exact-title,name-tokens:3/3,birth-year-match,context:viii,депутат,казахстан,мажилиса,парламента	Динара Рустамовна Наумова (каз. Динара Рустамқызы Наумова; род. 8 сентября 1997, Акмола, Казахстан) — казахстанский общественный деятель. Депутат Мажилиса Парламента Казахстана VIII созыва (2023—2026).	SUGGESTED	
respublica	55	Наумова Динара Рустамовна	1997	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	56	Нұғман Ақмоншақ Нұртазақызы	1991	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	56	Нұғман Ақмоншақ Нұртазақызы	1991	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	57	Сагади Сауле	1972	ru	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
respublica	57	Сагади Сауле	1972	kk	0					0	no-suggestion-above-threshold		NO_SUGGESTION	
