party,order,surname,given_names,birth_year,age_2026,gender_guess,position_raw,residence_raw,place_type,place
Ақ жол,21,Иса,Қазыбек Жарылқасынұлы,1962,64,м,"заместитель Председателя ДПК «Ак жол», депутат Мажилиса Парламента РК VII, VIII созыва",городе Алматы,город,Алматы
Ақ жол,22,Исин,Алибек Ерликович,1989,37,м,Генеральный директор ТОО «Samadi A Group»,городе Жезказган,город,Жезказган
Ақ жол,23,Кабдыгалиева,Мейрамгуль Кенжелагиевна,1977,49,ж,управляющий директор ТОО «Казахстанский завод магнезитовых изделий»,городе. Астана,город,Астана
Ақ жол,24,Кайркан,Азат Серикжанулы,1992,34,м,председатель наблюдательного Совета ТОО «Best Product Pavlodar»,городе Павлодар,город,Павлодар
Ақ жол,25,Калинкин,Анатолий Дмитриевич,1997,29,м,"директор ТОО «Discovery Coffee Semey», депутат городского маслихата г. Семей",городе Семей,город,Семей
Ақ жол,26,Кинсфатер,Артур Сергеевич,1995,31,м,директор ОЮЛ «ИП «КАПиСУ»; заместитель председателя по правовым вопросам Карагандинского областного филиала ДПК «Ак жол»,городе Караганда,город,Караганда
Ақ жол,27,Кинцель,Евгений Юрьевич,1977,49,м,председатель партийной комиссии ДПК «Ак жол»,городе Петропавловск,город,Петропавловск
Ақ жол,28,Кожахметов,Асылхан Тулеббергенович,1984,42,м,"секретарь Полититического совета, руководитель аппарата ДПК «Ак жол»",городе Астана,город,Астана
Ақ жол,29,Козыбаков,Улан Ермекович,1988,38,м,заместитель директора ТОО «Astana Energo Hub»,городе Актобе,город,Актобе
Ақ жол,30,Корганбаев,Батыржан,1979,47,м,директор филиала ТОО «KMG Security» в городе Жанаозен,городе Актау,город,Актау
Ақ жол,31,Ли,Юрий Виссарионович,1977,49,м,Генеральный директор ОФ «Финансовая культура Казахстана»,городе Астана,город,Астана
Ақ жол,32,Линник,Андрей Григорьевич,1974,52,м,советник ТОО «Aspara Munay»,городе Алматы,город,Алматы
Ақ жол,33,Логутов,Константин Николаевич,1981,45,м,"Генеральный директор ТОО «Billboards Empire», директор ТОО «Terra Invest Group», директор ТОО «Энерго Трэйдинг Групп»",городе Алматы,город,Алматы
Ақ жол,34,Малимов,Бакдаулет Алиакбарович,1985,41,м,Генеральный директор ТОО «Смарт-энергетика»,городе Шымкент,город,Шымкент
Ақ жол,35,Мендыханов,Алим Болатулы,1994,32,м,Генеральный директор ТОО «ENCOS Group»,городе Астана,город,Астана
Ақ жол,36,Мергалиев,Аскар Серикович,1981,45,м,директор ТОО «Урал Пром Энерго»,городе. Уральск,город,Уральск
Ақ жол,37,Микрюков,Виктор Николаевич,1981,45,м,президент ОЮЛ «Ассоциация Застройщиков Казахстана»,городе Астана,город,Астана
Ақ жол,38,Мусапарбеков,Канат Жантуякович,1963,63,м,руководитель департамента экологии по Павлодарской области,городе Павлодар,город,Павлодар
Ақ жол,39,Найзакулов,Бауыржан Онланбекулы,1980,46,м,Генеральный директор ТОО «Таразкий кожевенный завод»,городе Тараз,город,Тараз
Ақ жол,40,Нуралдинов,Олжас Ельтайулы,1989,37,м,депутат Мажилиса Парламента РК VІІІ созыва,городе Астана,город,Астана
Ақ жол,41,Өмірғали,Ерлік Қайдарұлы,1979,47,м,предприниматель,городе Астана,город,Астана
Ақ жол,42,Перуашев,Азат Турлыбекулы,1967,59,м,"депутат Мажилиса Парламента РК V, VI, VII, VIII созыва",городе Астана,город,Астана
Ақ жол,43,Ракишева,Алия Булатовна,1987,39,ж,директор департамента ПХВ «Информационно-вычислительный центр»,городе Алматы,город,Алматы
Ақ жол,44,Раманкулов,Максат Базаралыевич,1974,52,м,"директор СКФ «Туркестан», директор ТОО «DG-art», советник Генерального директора ТОО «Mabex Trade LTD»",городе Астана,город,Астана
Ақ жол,45,Сағымбекұлы,Абзалбек,1972,54,м,заместитель председателя Алматинского областного филиала ДПК «Ак жол»,городе Талгар,город,Талгар
Ақ жол,46,Салыкбаев,Абзал Мырзаханович,1990,36,м,"председатель Туркестанского областного филилала ДПК «Ак жол», предприниматель",городе Арыс,город,Арыс
Ақ жол,47,Сартбаев,Сакен Сатвалдиевич,1971,55,м,первый заместитель Генерального директора ТОО «Dostyk Gaz Terminal»,городе Алматы,город,Алматы
Ақ жол,48,Сергазинова,Александра Кабдуллаевна,1969,57,ж,"заместитель директора ТОО «Газета «Наш Костанай», редактор ИА «Тобол Инфо»",городе Костанай,город,Костанай
Ақ жол,49,Смагулов,Аскар Сайлаубекович,1970,56,м,"председатель Астанинского филиала ДПК «Ак жол», председатель постоянной комиссии маслихата города Астана по вопросам социально-культурного развития",городе Астана,город,Астана
Ақ жол,50,Смагулов,Рустем Сагадатович,1991,35,м,директор ТОО «Стройгрупп PVL»,селе Чернорецк Павлодарского района Павлодарской области,село,Чернорецк
Ақ жол,51,Сыздыков,Саят Толегенулы,1977,49,м,председатель постоянной комиссии по социальным вопросам Акмолинского областного маслихата,городе Кокшетау,город,Кокшетау
Ақ жол,52,Тастекей,Дулат Тұрсынұлы,1982,44,м,"основатель и управляющий группы компаний «TASGROUP», Генеральный директор ТОО «МФО «TAS FINANSCE GROUP»",городе Алматы,город,Алматы
Ақ жол,53,Тлеужанов,Ержан Хамитович,1989,37,м,директор ресторана «Жібек жолы»,городе Семей,город,Семей
Ақ жол,54,Тулебаев,Исламбек Насруллаевич,1980,46,м,председатель постоянной комиссии по инвестициям и развитию городской комфортной среды маслихата города Шымкент,городе Шымкент,город,Шымкент
Ақ жол,55,Тулегенова,Акманат Муратовна,1979,47,ж,заместитель директора ТОО «Арал газ»,поселке Тасбогет города Кызылорда,поселок,Тасбогет
Ақ жол,56,Уткин,Сергей Геннадьевич,1965,61,м,"индивидуальный предприниматель, юрист международного фонда защиты свободы слова «Адил сөз»",городе Алматы,город,Алматы
Ақ жол,57,Хамзин,Ғани Булатұлы,1994,32,м,заместитель директора департамента стратегии ТОО «Корпорация «Казахмыс»,городе Астана,город,Астана
Ақ жол,58,Хасанов,Ержан Кайржанович,1975,51,м,"директор ИП «Мағжан», депутат областного маслихата по Западно-Казахстанской области",городе Уральск,город,Уральск
Ақ жол,59,Шагимолдин,Ержан Омирканович,1985,41,м,учитель истории Назарбаев интеллектуальная школа в городе Астана,городе Астана,город,Астана
Ақ жол,60,Шардинов,Бахтияр Ахметжанович,1972,54,м,Генеральный директор ТОО ДП «Жаркент»,городе Алматы,город,Алматы
Ақ жол,61,Шимиров,Мухтар Аскарович,1982,44,м,"депутат городского маслихата города Шымкент, директор кооператива «BIOMAK»",городе. Шымкент,город,Шымкент
Ақ жол,62,Шынасилова,Мейраш,1971,55,ж,"председатель Алматинского областного филиала ДПК «Ак жол», заместитель директора ТОО «Специализированное предприятие по обработке камня»",городе Каскелен Карасайского района Алматинской области,город,Каскелен
Ақ жол,63,Юсупов,Ермеккалий Тулепкалиевич,1965,61,м,"председатель Атырауского областного филиала ДПК «Ак жол», директор ТОО «Атырау көлік құрылыс»",городе Атырау,город,Атырау
Ауыл,1,Абден,Қарақат Жақсылыққызы,1974,52,ж,член Политсовета «Партии «Ауыл»,городе Астане,город,Астана
Ауыл,2,Абдижаппаров,Жандос,1991,35,м,руководитель ТОО «Бірлік АЖА»,Алматинской области,область,Алматинская область
Ауыл,3,Абдуразакова,София Ринатовна,1979,47,ж,советник председателя «Партии «Ауыл»,городе Астане,город,Астана
Ауыл,4,Абдыханов,Улан Аманбекович,1974,52,м,"председатель регионального филиала «Партии «Ауыл» по городу Астана, генеральный директор горнодобывающего ТОО «Aksenger mining»",городе Астане,город,Астана
Ауыл,5,Абитаев,Фарид Кумашевич,1966,60,м,"председатель регионального филиала «Партии «Ауыл» по Восточно-Казахстанской области , директор ТОО «Опытное хозяйство масличных культур», депутат маслихата Восточно-Казахстанской области",городе Усть-Каменогорске,город,Усть-Каменогорск
Ауыл,6,Айтбаев,Талгат Ергенович,1966,60,м,директор ТОО «АвтоНурМах»,городе Шымкенте,город,Шымкент
Ауыл,7,Айтуганов,Кайрат Капарович,1962,64,м,председатель «Партии «Ауыл»,городе Астане,город,Астана
Ауыл,8,Алдашбаев,Сәкен Мінуарұлы,1980,46,м,редактор газеты «Сыр Дидары»,городе Кызылорде,город,Кызылорда
Ауыл,9,Алтангадас,Жанат,1983,43,м,руководитель ТОО «Алтын Жулдыз»,городе Алматы,город,Алматы
Ауыл,10,Ануарбеков,Жакыпбек Жылкыбаевич,1983,43,м,"директор ТОО «Ремспецстрой», директор ТОО «Улдана»",городе Караганде,город,Караганда
Ауыл,11,Арсютин,Николай Геннадьевич,1970,56,м,член Политсовета «Партии «Ауыл»,городе Экибастузе,город,Экибастуз
Ауыл,12,Аскаров,Канат Каирлыевич,1961,65,м,директор филиала «Есиль су» РГП на ПХВ» Казводхоз» МВРИ РК,городе Петропавловске,город,Петропавловск
Ауыл,13,Ахметова,Балнур Сериковна,1984,42,ж,заведующая кафедрой Шәкәрім университета,городе Семей,город,Семей
Ауыл,14,Бабамуратов,Даурен Абуталипович,1984,42,м,советник председателя «Партии «Ауыл»,городе Астане,город,Астана
Ауыл,15,Базилов,Асхат Мауленович,1989,37,м,"председатель Жетысуского регионального филиала «Партии «Ауыл», руководитель Жетысуского филиала РГП «Республиканский противоэпизоотический отряд»",городе Талдыкорган,город,Талдыкорган
Ауыл,16,Байжанов,Нуртас Жарылгасинович,1988,38,м,председатель регионального филиала «Партии «Ауыл» по Атырауской области,городе Атырау,город,Атырау
Ауыл,17,Байкин,Айдар Косымович,1986,40,м,декан факультета экономики и права Костанайского университета им. А. Байтұрсынұлы,городе Костанай,город,Костанай
Ауыл,18,Байманов,Шахмардан Аскарович,1984,42,м,заместитель председателя «Партии «Ауыл»-руководитель Центрального аппарата,городе Астане,город,Астана
Ауыл,19,Бегалиева,Захира Онгарбаевна,1971,55,ж,"директор Общественного фонда «ITeachMe» центр развития компетенций», внештатный советник министра труда и социальной защиты населения Республики Казахстан",городе Алматы,город,Алматы
Ауыл,20,Бекиев,Канат Ботаевич,1959,67,м,председатель регионального филиала «Партии «Ауыл» по Алматинской области,Алматинской области,область,Алматинская область
Ауыл,21,Берікқожа,Серікбол Қайратұлы,1991,35,м,исполнительный директор общественного фонда «Саналы Қоғам»,городе Астане,город,Астана
Ауыл,22,Білеш,Ерали Нұржанұлы,1999,27,м,руководитель ТОО «Металл-инжениринг»,городе Астане,город,Астана
Ауыл,23,Дайрабаев,Жигули Молдакалыкович,1954,72,м,"член Политсовета «Партии «Ауыл», председатель правления «Ассоциация фермеров Казахстана»",городе Астане,город,Астана
Ауыл,24,Двуреченский,Андрей Валентинович,1976,50,м,директор ТОО «Александровское»,городе Костанай,город,Костанай
Ауыл,25,Джакашев,Ернар Камидинович,1990,36,м,учредитель ТОО «Basic Agro»,городе Астане,город,Астана
Ауыл,26,Джакупов,Жаслан Кабибуллинович,1974,52,м,член совета директоров ТОО «Батыс Пауэр»,городе Уральске,город,Уральск
Ауыл,27,Досхожаев,Ильяс Алмасханович,1989,37,м,"частное учреждение «Samruk Business Academy», заместитель генерального директора",городе Астане,город,Астана
Ауыл,28,Егізбаев,Серік Рахметоллаұлы,1963,63,м,первый заместитель председателя «Партии «Ауыл»,городе Астане,город,Астана
Ауыл,29,Жиенбаев,Абзал Бахитович,1985,41,м,"председатель регионального филиала «Партии «Ауыл» по области Ұлытау, ТОО «Корпорация Казахмыс», главный специалист",городе Сатпаеве,город,Сатпаев
Ауыл,30,Жолдығали,Алшын Әділханұлы,1994,32,м,директор ТОО «Батыс Өнім»,городе Уральске,город,Уральск
Ауыл,31,Жумагулова,Диляра Темиргалиевна,1978,48,ж,"индивидуальный предприниматель, ИП «Жумагулова»",городе Петропавловске,город,Петропавловск
Ауыл,32,Идрисова,Айнур Маратовна,1984,42,ж,заместитель директора филиала Академии государственного управления при Президенте Республики Казахстан по городу Алматы,городе Алматы,город,Алматы
Ауыл,33,Иргибаев,Мурат Саматович,1991,35,м,заместитель председателя Комитета государственной инспекции в агропромышленном комплексе Министерства сельского хозяйства Республики Казахстан,городе Астане,город,Астана
Ауыл,34,Исмаилов,Арман Оразалиевич,1974,52,м,ректор Костанайского инженерно-экономического университета им. М. Дулатова,городе Костанай,город,Костанай
Ауыл,35,Каджибекова,Ажар Елемесовна,1978,48,ж,руководитель Управления сельского хозяйства Восточно-Казахстанской области,городе Астане,город,Астана
Ауыл,36,Калмуратов,Торегельды Оразалиевич,1971,55,м,председатель Туркестанского областного филиала «Партии «Ауыл»,городе Шымкенте,город,Шымкент
Ауыл,37,Карабеков,Гани Ажединович,1968,58,м,председатель Шымкентского городского регионального филиала «Партии «Ауыл»,городе Шымкенте,город,Шымкент
Ауыл,38,Каримбаев,Сейтжапар Ноянович,1972,54,м,директор ТОО «BS Aqro продукт»,городе Шымкенте,город,Шымкент
Ауыл,39,Киян,Владимир Сергеевич,1985,41,м,"ТОО «Национальный центр биотехнологии», заведующий лабораторией биоразнообразия и генетических ресурсов",городе Астане,город,Астана
Ауыл,40,Клишина,Ольга Геннадьевна,1961,65,ж,"Северо-Казахстанский областной маслихат, председатель постоянной комиссии Северо-Казахстанского областного маслихата по вопросам охраны здоровья населения, его социальной защиты, образования, культуры и делам молодежи",Северо-Казахстанской области,область,Северо-Казахстанская область
Ауыл,41,Конырбаев,Ахметбек Байрозович,1962,64,м,председатель Алматинского городского филиала «Партии «Ауыл»,городе Алматы,город,Алматы
Ауыл,42,Курманбекова,Слушаш Сатбековна,1963,63,ж,председатель регионального филиала «Партии «Ауыл» по Жамбылской области,городе Тараз,город,Тараз
Ауыл,43,Қуатбаев,Айбек Нурланұлы,1992,34,м,генеральный директор ТОО «Bugin Holding Corp»,городе Алматы,город,Алматы
Ауыл,44,Мухаметжанов,Арнур Сагиндыкович,1986,40,м,директор департамента стратегического планирования и анализа Министерства экологии и природных ресурсов Республики Казахстан,городе Астане,город,Астана
